#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
33,7,37,http://mademoisellelek.com/tag/evora/,"Evora Archives - Mademoiselle Le K Blog-Trotter",157,43,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2016-12-21 11:58:40","2017-09-04 23:11:20",,
34,7,47,http://www.keyword-suggest-tool.com/search/what+is+a+megalithic+culture/,"™ ""What is a megalithic culture"" Keyword Found Websites Listing | Keyword Suggestions",65,17,https://www.merriam-webster.com/dictionary/megalith,https://www.merriam-webster.com/dictionary/megalith,,,Nofollow,,"2017-07-16 14:57:08","2017-07-16 14:57:08",,en
35,7,37,http://mademoisellelek.com/tag/interior-designer/,"Interior Designer Archives - Mademoiselle Le K Blog-Trotter",196,44,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-01-05 00:17:47","2017-09-22 19:57:57",,en
36,7,37,http://mademoisellelek.com/tag/brunch/,"Brunch Archives - Mademoiselle Le K Blog-Trotter",186,50,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2016-12-20 10:03:08","2017-09-25 02:36:37",,en
37,7,37,http://mademoisellelek.com/tag/nini-andrade-silva/,"Nini Andrade Silva Archives - Mademoiselle Le K Blog-Trotter",166,42,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-01-04 10:56:53","2017-09-12 19:58:08",,en
38,6,37,http://mademoisellelek.com/tag/infinity-pool/,"Infinity Pool Archives - Mademoiselle Le K Blog-Trotter",161,41,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-01-25 18:37:07","2017-09-25 23:41:33",,en
39,6,37,http://mademoisellelek.com/tag/vitoria-stone-hotel/,"Vitória Stone Hotel Archives - Mademoiselle Le K Blog-Trotter",131,34,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-01-07 15:27:35","2017-09-21 22:40:34",,en
40,6,38,http://en.searchbob.net/megalith,"megalith Search Bob - search engine - torrents, goods & internet",110,20,https://www.merriam-webster.com/dictionary/megalith,,"site logo:megalith Megalith | Definition of Megalith by Merriam-Webster",,"Dofollow, Image",,"2017-02-14 01:49:29","2017-07-16 21:07:39",,en
41,6,37,http://mademoisellelek.com/tag/roof-terrace/,"Roof Terrace Archives - Mademoiselle Le K Blog-Trotter",121,29,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-02-04 08:29:07","2017-09-18 04:51:00",,en
42,6,37,http://mademoisellelek.com/tag/sauna-with-cork-walls/,"Sauna With Cork Walls Archives - Mademoiselle Le K Blog-Trotter",121,29,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-01-09 21:43:53","2017-09-19 00:01:58",,en
43,6,37,http://mademoisellelek.com/tag/visit-alentejo-visit-portugal/,"Visit Alentejo Visit Portugal Archives - Mademoiselle Le K Blog-Trotter",121,29,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-02-23 17:31:21","2017-09-13 18:41:18",,en
44,6,39,http://hindi-english.com/dictionary/megalith,"megalith - Hindi Meaning (हिंदी मतलब) | 'megalith' in Hindi at hindi-english.com",138,16,https://www.merriam-webster.com/dictionary/megalith,"Shabdkosh Wikipedia.com Dictionary.com","Merriam Webster",,Dofollow,,"2017-08-01 06:48:07","2017-09-05 00:24:48",,en
45,6,37,http://mademoisellelek.com/tag/restaurant/page/2/,"Restaurant Archives - Page 2 of 35 - Mademoiselle Le K Blog-Trotter",177,47,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-06-25 17:49:01","2017-09-22 08:16:41",,en
